1724137200000,2675.98000000,2676.71000000,2669.50000000,2670.02000000,1311.35620000,1724138099999,3505191.44103500,8495,460.39400000,1230855.30888500,0
1724138100000,2670.01000000,2675.00000000,2669.32000000,2673.33000000,1354.71970000,1724138999999,3620093.18431000,8306,595.08350000,1590028.45127000,0
1724139000000,2673.33000000,2678.16000000,2672.20000000,2674.01000000,1575.39070000,1724139899999,4214574.25187900,9418,790.61330000,2114991.79475000,0
1724139900000,2674.00000000,2674.95000000,2671.04000000,2674.81000000,1070.16610000,1724140799999,2860486.75382300,6443,636.28430000,1700747.81692900,0
1724140800000,2674.81000000,2676.40000000,2665.11000000,2666.37000000,2575.85900000,1724141699999,6879819.71544000,13637,1057.53210000,2824364.82017800,0
1724141700000,2666.36000000,2667.74000000,2658.83000000,2661.34000000,1863.74970000,1724142599999,4962647.20031700,10695,781.86130000,2081918.09047800,0
1724142600000,2661.35000000,2663.20000000,2657.40000000,2661.99000000,1702.28250000,1724143499999,4529112.43031000,8739,792.70640000,2109210.00243900,0
1724143500000,2661.98000000,2664.87000000,2658.85000000,2661.20000000,1101.33280000,1724144399999,2932047.90640600,5949,426.30630000,1135033.42919800,0
1724144400000,2661.20000000,2665.00000000,2659.94000000,2663.10000000,1656.10160000,1724145299999,4409669.87884000,8354,1060.05400000,2822564.44550300,0
1724145300000,2663.11000000,2666.36000000,2662.13000000,2665.13000000,990.47480000,1724146199999,2639193.52212300,6442,502.21410000,1338198.33063400,0
1724146200000,2665.14000000,2665.96000000,2658.65000000,2658.67000000,2017.94990000,1724147099999,5373674.69931600,7443,896.19870000,2386540.14047400,0
1724147100000,2658.67000000,2660.94000000,2656.14000000,2660.48000000,1054.34840000,1724147999999,2803566.37542600,6234,600.07390000,1595640.44876200,0
1724148000000,2660.48000000,2661.68000000,2655.80000000,2657.79000000,1266.98420000,1724148899999,3368620.58392200,6665,698.10880000,1856283.56582000,0
1724148900000,2657.79000000,2663.25000000,2656.49000000,2661.84000000,1301.67120000,1724149799999,3461824.73436100,5925,929.69080000,2472971.39175400,0
1724149800000,2661.85000000,2661.90000000,2656.56000000,2659.36000000,975.44110000,1724150699999,2594132.62920800,6270,478.12600000,1271486.80719300,0
1724150700000,2659.35000000,2660.10000000,2653.00000000,2656.14000000,1431.44950000,1724151599999,3802600.22167700,6814,697.71180000,1853738.93609900,0
1724151600000,2656.14000000,2657.70000000,2648.27000000,2650.05000000,1909.57100000,1724152499999,5066852.49647700,10107,715.07590000,1897686.94334400,0
1724152500000,2650.06000000,2652.60000000,2646.02000000,2652.60000000,1904.97680000,1724153399999,5047546.48250200,9845,978.94510000,2593963.69819600,0
1724153400000,2652.59000000,2655.26000000,2639.40000000,2640.77000000,4577.16750000,1724154299999,12110289.04363700,12697,1493.73460000,3956669.76499900,0
1724154300000,2640.76000000,2644.80000000,2640.57000000,2642.45000000,2078.83030000,1724155199999,5494306.18909700,10470,1385.96740000,3663035.61479700,0
1724155200000,2642.46000000,2655.78000000,2640.53000000,2655.23000000,3369.99250000,1724156099999,8926880.16715500,11510,2337.37250000,6191624.63012600,0
1724156100000,2655.24000000,2655.24000000,2648.00000000,2651.91000000,2219.57020000,1724156999999,5884685.17036900,10310,1063.05410000,2818259.08229900,0
1724157000000,2651.91000000,2652.34000000,2646.66000000,2647.61000000,1240.69580000,1724157899999,3287007.40954300,6251,513.19920000,1359746.80928400,0
1724157900000,2647.62000000,2648.32000000,2645.00000000,2646.32000000,1191.55900000,1724158799999,3153384.34860300,5044,634.82100000,1680010.08959900,0
1724158800000,2646.32000000,2646.33000000,2634.58000000,2636.28000000,2483.32950000,1724159699999,6554336.19261100,12653,1080.70190000,2852502.42245500,0
1724159700000,2636.28000000,2640.89000000,2632.62000000,2640.89000000,4154.55100000,1724160599999,10950675.96536400,14885,1997.97370000,5266802.01885700,0
1724160600000,2640.88000000,2647.86000000,2625.00000000,2641.49000000,6271.94780000,1724161499999,16533781.53897400,25151,2972.60060000,7838148.29607700,0
1724161500000,2641.50000000,2651.05000000,2638.70000000,2645.61000000,6735.89090000,1724162399999,17812931.90783200,24854,4087.10820000,10808855.56968300,0
1724162400000,2645.61000000,2646.54000000,2610.53000000,2620.76000000,9243.56490000,1724163299999,24248017.29610500,39957,4259.06450000,11169783.69977100,0
1724163300000,2620.76000000,2620.76000000,2603.73000000,2612.04000000,7632.09530000,1724164199999,19926257.90130800,37618,3717.77340000,9708190.31317400,0
1724164200000,2612.09000000,2612.10000000,2592.20000000,2600.14000000,7342.98900000,1724165099999,19105474.47624100,33484,2969.58070000,7727972.64576400,0
1724165100000,2600.13000000,2603.34000000,2582.78000000,2585.41000000,7063.09860000,1724165999999,18299382.47375300,31315,3077.93560000,7975226.29255200,0
1724166000000,2585.42000000,2586.30000000,2555.00000000,2565.37000000,19158.28450000,1724166899999,49193992.75446900,66481,8695.88590000,22325738.69432800,0
1724166900000,2565.37000000,2584.80000000,2564.20000000,2574.00000000,9498.58570000,1724167799999,24469280.65908700,36080,4645.28330000,11967359.68554100,0
1724167800000,2573.99000000,2583.19000000,2572.65000000,2575.41000000,3556.98570000,1724168699999,9169065.97685700,19134,1754.16680000,4522256.17529000,0
1724168700000,2575.41000000,2578.17000000,2570.00000000,2574.99000000,4024.60060000,1724169599999,10363241.52830100,20165,1851.51930000,4767634.40918100,0
1724169600000,2575.00000000,2580.00000000,2565.80000000,2578.18000000,6085.29640000,1724170499999,15654844.32845600,25657,2626.69330000,6759591.55858300,0
