2025-03-26 14:57:07,122:INFO:Step: {}, Action: 0, Reward: -7.77992157839049, Total Reward: -236.48267720185166
2025-03-26 14:57:07,122:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -236.48267720185166
2025-03-26 14:57:07,122:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -236.48267720185166
2025-03-26 14:57:07,123:INFO:Step: {}, Action: 0, Reward: 6.833146974778911, Total Reward: -229.64953022707274
2025-03-26 14:57:07,123:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -229.64953022707274
2025-03-26 14:57:07,123:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -229.64953022707274
2025-03-26 14:57:07,123:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -229.64953022707274
2025-03-26 14:57:07,124:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -229.64953022707274
2025-03-26 14:57:07,124:INFO:Step: {}, Action: 0, Reward: -16.36661211129228, Total Reward: -246.01614233836503
2025-03-26 14:57:07,124:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -246.01614233836503
2025-03-26 14:57:07,124:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -246.01614233836503
2025-03-26 14:57:07,125:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -246.01614233836503
2025-03-26 14:57:07,125:INFO:Step: {}, Action: 2, Reward: 25.199246213852955, Total Reward: -220.81689612451208
2025-03-26 14:57:07,125:INFO:Step: {}, Action: 1, Reward: -5.8390240399173505, Total Reward: -226.65592016442943
2025-03-26 14:57:07,125:INFO:Step: {}, Action: 0, Reward: -2.8709985457770504, Total Reward: -229.52691871020647
2025-03-26 14:57:07,126:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -229.52691871020647
2025-03-26 14:57:07,126:INFO:Step: {}, Action: 2, Reward: -43.118386666708126, Total Reward: -272.6453053769146
2025-03-26 14:57:07,126:INFO:Step: {}, Action: 1, Reward: -11.28880526810884, Total Reward: -283.93411064502345
2025-03-26 14:57:07,127:INFO:Step: {}, Action: 0, Reward: 22.4895069849035, Total Reward: -261.4446036601199
2025-03-26 14:57:07,127:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -261.4446036601199
2025-03-26 14:57:07,127:INFO:Step: {}, Action: 0, Reward: -11.996850826658456, Total Reward: -273.44145448677835
2025-03-26 14:57:07,127:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -273.44145448677835
2025-03-26 14:57:07,128:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -273.44145448677835
2025-03-26 14:57:07,128:INFO:Step: {}, Action: 2, Reward: 9.834174386388149, Total Reward: -263.6072801003902
2025-03-26 14:57:07,128:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -263.6072801003902
2025-03-26 14:57:07,128:INFO:Step: {}, Action: 1, Reward: -23.900016689076672, Total Reward: -287.50729678946686
2025-03-26 14:57:07,129:INFO:Step: {}, Action: 0, Reward: 27.267129914679757, Total Reward: -260.2401668747871
2025-03-26 14:57:07,129:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -260.2401668747871
2025-03-26 14:57:07,129:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -260.2401668747871
2025-03-26 14:57:07,129:INFO:Step: {}, Action: 2, Reward: -4.142515071535929, Total Reward: -264.38268194632303
2025-03-26 14:57:07,130:INFO:Step: {}, Action: 0, Reward: -30.893364519723377, Total Reward: -295.2760464660464
2025-03-26 14:57:07,130:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -295.2760464660464
2025-03-26 14:57:07,130:INFO:Step: {}, Action: 0, Reward: -11.138733233563, Total Reward: -306.4147796996094
2025-03-26 14:57:07,131:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -306.4147796996094
2025-03-26 14:57:07,131:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -306.4147796996094
2025-03-26 14:57:07,131:INFO:Step: {}, Action: 0, Reward: -6.501889611669585, Total Reward: -312.916669311279
2025-03-26 14:57:07,131:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -312.916669311279
2025-03-26 14:57:07,132:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -312.916669311279
2025-03-26 14:57:07,132:INFO:Step: {}, Action: 2, Reward: 9.525570202512256, Total Reward: -303.39109910876675
2025-03-26 14:57:07,132:INFO:Step: {}, Action: 0, Reward: 40.78949427913959, Total Reward: -262.60160482962715
2025-03-26 14:57:07,132:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -262.60160482962715
2025-03-26 14:57:07,133:INFO:Step: {}, Action: 2, Reward: 9.167082638738687, Total Reward: -253.43452219088846
2025-03-26 14:57:07,133:INFO:Step: {}, Action: 0, Reward: -21.234352603168475, Total Reward: -274.66887479405693
2025-03-26 14:57:07,133:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -274.66887479405693
2025-03-26 14:57:07,133:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -274.66887479405693
2025-03-26 14:57:07,134:INFO:Step: {}, Action: 0, Reward: -2.7577561892826985, Total Reward: -277.42663098333963
2025-03-26 14:57:07,134:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -277.42663098333963
2025-03-26 14:57:07,134:INFO:Step: {}, Action: 0, Reward: -21.788270752229234, Total Reward: -299.21490173556884
2025-03-26 14:57:07,135:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -299.21490173556884
2025-03-26 14:57:07,135:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -299.21490173556884
2025-03-26 14:57:07,135:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -299.21490173556884
